"","NA0409. North Atlantic Coast","NA0410. North Central Tillplain","NA0411. Northern Appalachian / Acadian","NA0412. Ouachita Mountains","NA0413. Ozarks","NA0414. Piedmont","NA0415. Prairie-Forest Border","NA0416. Southern Blue Ridge","NA0303. Sierra Madre Oriental pine-oak forests","NA0813. Southern Shortgrass Prairie","NA0601. Alaska Peninsula","NA1102. Alaska-Yukon Arctic","NA1103. Arctic Cordillera","NA1105. Beringian Tundra","NA1106. Bristol Bay Basin","NA1107. Northern Arctic","NA1112. Kalaallit Nunaat high arctic tundra","NA1113. Kalaallit Nunaat low arctic tundra","NA1303. Central Mexican matorral","NA1309. Gulf of California xeric scrub","NA1310. Meseta Central matorral","NT0904. Tropical Florida","NA0503. California North Coast","NA0504. Canadian Rocky Mountains","NA0506. East Cascades - Modoc Plateau","NA0507. East Gulf Coastal Plain","NA0508. Florida Peninsula","NA0509. Gulf of Alaska Mountains and Fjordlands","NA0510. Klamath Mountains","NA0511. Mid-Atlantic Coastal Plain","NA0201. Sonoran-Sinaloan transition subtropical dry forest","NA0302. Sierra Madre Occidental pine-oak forests","NA0401. Central Appalachian Forest","NA0421. Chesapeake Bay Lowlands","NA0403. Cumberlands and Southern Ridge and Valley","NA0404. Great Lakes","NA0405. High Allegheny Plateau","NA0406. Interior Low Plateau","NA0407. Lower New England / Northern Piedmont","NA0408. Mississippi River Alluvial Plain","NA0417. St. Lawrence - Champlain Valley","NA0418. Superior Mixed Forest","NA0419. Upper East Gulf Coastal Plain","NA0420. Western Allegheny Plateau","NA0402. Willamette Valley - Puget Trough - Georgia Basin","NA0501. Arizona-New Mexico Mountains","NA0502. Black Hills","NA0527. Middle Rockies - Blue Mountains","NA0513. Montane Cordillera","NA0514. North Cascades","NA0568. Okanagan","NA0515. Pacific Northwest Coast","NA0518. S.E. Alaska - B.C. Coastal Forest and Mountains","NA0512. Sierra Nevada","NA0520. South Atlantic Coastal Plain","NA0521. Southern Rocky Mountains","NA0522. Upper West Gulf Coastal Plain","NA0523. Utah High Plateaus","NA0524. Utah-Wyoming Rocky Mountains","NA0581. West Cascades","NA0526. West Gulf Coastal Plain","NA0517. Willamette Valley - Puget Trough - Georgia Basin","NA0612. Alaska Range","NA0602. Boreal Cordillera","NA0603. Boreal Plains","NA0604. Boreal Shield","NA0611. Cook Inlet Basin","NA0605. Eastern Taiga Shield","NA0606. Hudson Plains","NA0607. Interior Alaska Taiga","NA0608. Taiga Plains","NA0609. Western Taiga Shield","NA0610. Yukon Plateau and Flats","NA0701. Gulf Coast Prairies and Marshes","NA0801. Aspen Parkland","NA0802. Central Mixed-Grass Prairie","NA0803. Central Shortgrass Prairie","NA0804. Central Tallgrass Prairie","NA0805. Crosstimbers and Southern Tallgrass Prairie","NA0806. Dakota Mixed-Grass Prairie","NA0807. Edwards Plateau","NA0808. Fescue-Mixed Grass Prairie","NA0810. Northern Great Plains Steppe","NA0811. Northern Tallgrass Prairie","NA0812. Osage Plains/Flint Hills Prairie","NA1108. Southern Arctic","NA1109. Taiga Cordillera","NA1201. California Central Coast","NA1202. California South Coast","NA1209. Great Central Valley","NA1301. Apache Highlands","NA1302. Baja California desert","NA1304. Chihuahuan desert","NA1305. Colorado Plateau","NA1306. Columbia Plateau","NA1307. Great Basin","NA1308. Mojave Desert","NA1311. Sonoran Desert","NA1312. Tamaulipan Thorn Scrub","NA1313. Wyoming Basins","NA9999. Rock and Ice"
"NA0409. North Atlantic Coast",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA0410. North Central Tillplain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA0411. Northern Appalachian / Acadian",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA0412. Ouachita Mountains",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA0413. Ozarks",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA0414. Piedmont",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA0415. Prairie-Forest Border",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA0416. Southern Blue Ridge",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA0303. Sierra Madre Oriental pine-oak forests",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"NA0813. Southern Shortgrass Prairie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
